numbers,product
"(242, 278)",67276
"(242, 283)",68486
"(242, 288)",69696
"(242, 364)",88088
"(242, 369)",89298
"(242, 831)",201102
"(242, 886)",214412
"(242, 941)",227722
"(244, 284)",69296
"(244, 337)",82228
"(246, 271)",66666
"(246, 333)",81918
"(246, 363)",89298
"(247, 301)",74347
"(247, 693)",171171
"(248, 257)",63736
"(248, 356)",88288
"(248, 869)",215512
"(249, 342)",85158
"(251, 266)",66766
"(251, 297)",74547
"(251, 328)",82328
"(251, 359)",90109
"(253, 417)",105501
"(253, 527)",133331
"(253, 637)",161161
"(253, 707)",178871
"(253, 874)",221122
"(253, 944)",238832
"(254, 274)",69596
"(254, 342)",86868
"(258, 267)",68886
"(258, 341)",87978
"(258, 814)",210012
"(259, 273)",70707
"(259, 312)",80808
"(259, 351)",90909
"(259, 429)",111111
"(259, 858)",222222
"(261, 451)",117711
"(263, 343)",90209
"(264, 264)",69696
"(264, 808)",213312
"(264, 833)",219912
"(264, 888)",234432
"(264, 968)",255552
"(266, 902)",239932
"(267, 314)",83838
"(269, 273)",73437
"(269, 371)",99799
"(271, 287)",77777
"(271, 328)",88888
"(271, 369)",99999
"(271, 451)",122221
"(271, 902)",244442
"(272, 309)",84048
"(272, 319)",86768
"(273, 279)",76167
"(273, 296)",80808
"(273, 306)",83538
"(273, 316)",86268
"(273, 333)",90909
"(273, 343)",93639
"(273, 353)",96369
"(273, 363)",99099
"(273, 407)",111111
"(273, 517)",141141
"(273, 627)",171171
"(273, 814)",222222
"(273, 924)",252252
"(274, 292)",80008
"(274, 327)",89598
"(274, 803)",220022
"(277, 357)",98889
"(277, 726)",201102
"(279, 968)",270072
"(281, 298)",83738
"(281, 339)",95259
"(283, 353)",99899
"(284, 292)",82928
"(284, 297)",84348
"(286, 308)",88088
"(286, 707)",202202
"(286, 742)",212212
"(286, 777)",222222
"(286, 812)",232232
"(286, 847)",242242
"(286, 882)",252252
"(286, 917)",262262
"(286, 952)",272272
"(286, 987)",282282
"(287, 693)",198891
"(287, 836)",239932
"(288, 814)",234432
"(289, 302)",87278
"(289, 331)",95659
"(291, 319)",92829
"(294, 302)",88788
"(294, 748)",219912
"(294, 858)",252252
"(296, 792)",234432
"(297, 317)",94149
"(298, 301)",89698
"(299, 539)",161161
"(301, 561)",168861
"(303, 407)",123321
"(303, 517)",156651
"(303, 627)",189981
"(303, 704)",213312
"(303, 814)",246642
"(303, 924)",279972
"(306, 737)",225522
"(307, 307)",94249
"(307, 836)",256652
"(308, 689)",212212
"(308, 714)",219912
"(308, 754)",232232
"(308, 779)",239932
"(308, 819)",252252
"(308, 844)",259952
"(308, 884)",272272
"(308, 909)",279972
"(308, 949)",292292
"(308, 974)",299992
"(309, 748)",231132
"(311, 561)",174471
"(314, 913)",286682
"(316, 682)",215512
"(317, 473)",149941
"(318, 814)",258852
"(319, 369)",117711
"(319, 439)",140041
"(319, 519)",165561
"(319, 658)",209902
"(319, 728)",232232
"(319, 808)",257752
"(319, 878)",280082
"(321, 561)",180081
"(326, 627)",204402
"(327, 836)",273372
"(329, 429)",141141
"(329, 638)",209902
"(329, 858)",282282
"(331, 913)",302203
"(333, 407)",135531
"(333, 704)",234432
"(337, 979)",329923
"(339, 957)",324423
"(341, 381)",129921
"(341, 391)",133331
"(341, 541)",184481
"(341, 632)",215512
"(341, 782)",266662
"(341, 792)",270072
"(341, 883)",301103
"(347, 836)",290092
"(352, 606)",213312
"(352, 666)",234432
"(352, 726)",255552
"(352, 786)",276672
"(352, 846)",297792
"(357, 473)",168861
"(357, 616)",219912
"(363, 407)",147741
"(363, 447)",162261
"(363, 554)",201102
"(363, 704)",255552
"(363, 744)",270072
"(363, 961)",348843
"(364, 583)",212212
"(364, 638)",232232
"(364, 693)",252252
"(364, 748)",272272
"(364, 803)",292292
"(368, 649)",238832
"(369, 539)",198891
"(371, 572)",212212
"(372, 726)",270072
"(374, 588)",219912
"(374, 603)",225522
"(374, 618)",231132
"(374, 713)",266662
"(374, 728)",272272
"(376, 792)",297792
"(377, 616)",232232
"(386, 737)",284482
"(387, 979)",378873
"(388, 759)",294492
"(389, 957)",372273
"(391, 682)",266662
"(392, 561)",219912
"(393, 407)",159951
"(393, 704)",276672
"(396, 547)",216612
"(396, 592)",234432
"(396, 637)",252252
"(396, 682)",270072
"(396, 707)",279972
"(396, 752)",297792
"(397, 473)",187781
"(399, 429)",171171
"(402, 561)",225522
"(404, 528)",213312
"(404, 583)",235532
"(404, 638)",257752
"(404, 693)",279972
"(406, 517)",209902
"(406, 572)",232232
"(407, 516)",210012
"(407, 546)",222222
"(407, 576)",234432
"(407, 606)",246642
"(407, 636)",258852
"(407, 789)",321123
"(407, 819)",333333
"(407, 849)",345543
"(407, 879)",357753
"(407, 909)",369963
"(408, 539)",219912
"(411, 803)",330033
"(412, 561)",231132
"(418, 489)",204402
"(418, 529)",221122
"(418, 574)",239932
"(418, 614)",256652
"(418, 654)",273372
"(418, 694)",290092
"(418, 978)",408804
"(419, 737)",308803
"(422, 616)",259952
"(423, 704)",297792
"(424, 946)",401104
"(428, 649)",277772
"(429, 518)",222222
"(429, 588)",252252
"(429, 658)",282282
"(429, 707)",303303
"(429, 777)",333333
"(429, 847)",363363
"(429, 917)",393393
"(429, 966)",414414
"(436, 627)",273372
"(437, 506)",221122
"(439, 638)",280082
"(441, 451)",198891
"(441, 572)",252252
"(442, 616)",272272
"(443, 484)",214412
"(443, 968)",428824
"(444, 473)",210012
"(444, 528)",234432
"(444, 583)",258852
"(444, 946)",420024
"(446, 979)",436634
"(451, 532)",239932
"(451, 542)",244442
"(451, 813)",366663
"(451, 823)",371173
"(451, 904)",407704
"(451, 914)",412214
"(452, 902)",407704
"(457, 902)",412214
"(458, 968)",443344
"(462, 476)",219912
"(462, 481)",222222
"(462, 541)",249942
"(462, 546)",252252
"(462, 606)",279972
"(462, 611)",282282
"(462, 897)",414414
"(462, 962)",444444
"(467, 759)",354453
"(468, 539)",252252
"(472, 506)",238832
"(473, 761)",359953
"(473, 801)",378873
"(473, 841)",397793
"(473, 848)",401104
"(473, 888)",420024
"(476, 572)",272272
"(481, 693)",333333
"(481, 924)",444444
"(483, 858)",414414
"(484, 528)",255552
